Country,Year,prevalence_total,art_coverage,pmtct_coverage,people_living_with_hiv,aids_deaths,women_15plus_with_hiv,mtct_rate,population,gdp_usd,unemployment_rate,gdp_per_capita_usd,aids_deaths_per_100k,women_15plus_with_hiv_per_100k
Botswana,2007,23.6,29,78,,11000,170000,,1911201,10567270656.0,17.6,5529.13,575.55,8894.93
Botswana,2008,23.4,36,79,,9800,170000,,1949970,10730829116.0,17.7,5503.07,502.57,8718.08
Botswana,2009,23.2,44,88,,8500,180000,,1990673,10118459242.0,17.8,5082.93,426.99,9042.17
Botswana,2010,23.0,49,79,,7100,180000,8.0,2033111,12637273429.0,17.9,6215.73,349.22,8853.43
Botswana,2011,22.8,54,70,,5900,190000,10.0,2073535,15110643612.0,18.0,7287.38,284.54,9163.1
Botswana,2012,22.7,61,89,,4800,190000,6.0,2108617,13907464500.0,18.1,6595.54,227.64,9010.65
Botswana,2013,22.4,65,91,,4100,190000,4.0,2140682,14271738933.0,18.5,6666.91,191.53,8875.68
Botswana,2014,22.1,67,84,,3500,200000,6.0,2172044,15470088501.0,19.0,7122.36,161.14,9207.92
Botswana,2015,21.8,72,88,,3100,200000,5.0,2203273,13530748845.0,19.5,6141.2,140.7,9077.4
Botswana,2016,21.4,76,87,,2800,210000,5.0,2234776,15082637184.0,20.0,6749.06,125.29,9396.91
Kenya,2007,6.0,13,57,,64000,760000,,38036349,31958195182.0,2.7,840.2,168.26,1998.09
Kenya,2008,5.8,18,76,,61000,760000,,39206351,35895153328.0,2.7,915.54,155.59,1938.46
Kenya,2009,5.6,24,78,,58000,750000,,40408891,42347217913.0,2.7,1047.97,143.53,1856.03
Kenya,2010,5.5,31,50,,54000,760000,20.0,41598567,45405615064.0,2.7,1091.52,129.81,1826.99
Kenya,2011,5.3,38,69,,50000,760000,16.0,42758461,46869473151.0,2.7,1096.14,116.94,1777.43
Kenya,2012,5.2,43,57,,46000,770000,19.0,43888303,56396704672.0,2.7,1285.01,104.81,1754.45
Kenya,2013,5.0,47,59,,42000,780000,18.0,44986791,61671440408.0,2.7,1370.88,93.36,1733.84
Kenya,2014,4.9,54,70,,39000,790000,16.0,46051440,68285796514.0,2.8,1482.82,84.69,1715.47
Kenya,2015,4.7,65,90,,36000,800000,10.0,47088526,70120446897.0,2.8,1489.12,76.45,1698.93
Kenya,2016,4.5,74,92,,33000,800000,9.0,48139687,74815144164.0,2.8,1554.13,68.55,1661.83
South Africa,2007,,10,49,5100000.0,370000,3000000,,50528584,333077000000.0,22.3,6591.85,732.26,5937.23
South Africa,2008,,14,63,5300000.0,360000,3100000,,51114599,316131000000.0,22.7,6184.75,704.3,6064.8
South Africa,2009,,19,79,5500000.0,340000,3300000,,51728516,329754000000.0,23.7,6374.7,657.28,6379.46
South Africa,2010,,25,93,5700000.0,310000,3400000,8.0,52344051,417364000000.0,24.7,7973.48,592.24,6495.49
South Africa,2011,,33,100,5900000.0,280000,3500000,6.0,52995205,458199000000.0,24.7,8646.05,528.35,6604.37
South Africa,2012,,40,100,6100000.0,240000,3700000,5.0,53782567,434401000000.0,24.9,8076.99,446.24,6879.55
South Africa,2013,,45,100,6300000.0,200000,3800000,5.0,54678791,400886000000.0,24.7,7331.65,365.77,6949.68
South Africa,2014,,49,100,6500000.0,170000,4000000,4.0,55594838,381199000000.0,25.1,6856.73,305.78,7194.91
South Africa,2015,,54,95,6700000.0,150000,4100000,4.0,56723537,346710000000.0,25.4,6112.28,264.44,7228.04
South Africa,2016,,60,93,6900000.0,130000,4300000,4.0,57259551,323586000000.0,26.7,5651.21,227.04,7509.66
