Country;Year;Population;GDP_per_capita;Unemployee
South Africa;2007;50528584;"3,33077E+11";"22,3"
South Africa;2008;51114599;"3,16131E+11";"22,7"
South Africa;2009;51728516;"3,29754E+11";"23,7"
South Africa;2010;52344051;"4,17364E+11";"24,7"
South Africa;2011;52995205;"4,58199E+11";"24,7"
South Africa;2012;53782567;"4,34401E+11";"24,9"
South Africa;2013;54678791;"4,00886E+11";"24,7"
South Africa;2014;55594838;"3,81199E+11";"25,1"
South Africa;2015;56723537;"3,4671E+11";"25,4"
South Africa;2016;57259551;"3,23586E+11";"26,7"
Kenya;2007;38036349;31958195182;"2,7"
Kenya;2008;39206351;35895153328;"2,7"
Kenya;2009;40408891;42347217913;"2,7"
Kenya;2010;41598567;45405615064;"2,7"
Kenya;2011;42758461;46869473151;"2,7"
Kenya;2012;43888303;56396704672;"2,7"
Kenya;2013;44986791;61671440408;"2,7"
Kenya;2014;46051440;68285796514;"2,8"
Kenya;2015;47088526;70120446897;"2,8"
Kenya;2016;48139687;74815144164;"2,8"
Botswana;2007;1911201;10567270656;"17,6"
Botswana;2008;1949970;10730829116;"17,7"
Botswana;2009;1990673;10118459242;"17,8"
Botswana;2010;2033111;12637273429;"17,9"
Botswana;2011;2073535;15110643612;18
Botswana;2012;2108617;13907464500;"18,1"
Botswana;2013;2140682;14271738933;"18,5"
Botswana;2014;2172044;15470088501;19
Botswana;2015;2203273;13530748845;"19,5"
Botswana;2016;2234776;15082637184;20
