Country;Year;HIV_Prevalence_Female;HIV_Prevalence_Male;HIV_Prevalence_Total;Antiretroviral_Coverage;PMTCT_Coverage;People living with HIV;AIDS Deaths;Women 15+ with HIV;Mother to child trasmission rate %
South Africa;2007;49;"15,8";"4,7";10;49;5100000;370000;3000000;
South Africa;2008;63;"15,3";"4,5";14;63;5300000;360000;3100000;
South Africa;2009;79;"14,8";"4,4";19;79;5500000;340000;3300000;
South Africa;2010;93;"14,3";"4,3";25;93;5700000;310000;3400000;8
South Africa;2011;100;"13,9";"4,2";33;100;5900000;280000;3500000;6
South Africa;2012;100;"13,5";"4,1";40;100;6100000;240000;3700000;5
South Africa;2013;100;"13,1";"4,1";45;100;6300000;200000;3800000;5
South Africa;2014;100;"12,9";"4,1";49;100;6500000;170000;4000000;4
South Africa;2015;95;"12,6";"4,2";54;95;6700000;150000;4100000;4
South Africa;2016;93;"12,4";"4,2";60;93;6900000;130000;4300000;4
Kenya;2007;"3,6";"1,3";6;13;57;6900000;64000;760000;
Kenya;2008;"3,5";"1,4";"5,8";18;76;6900000;61000;760000;
Kenya;2009;"3,4";"1,4";"5,6";24;78;6900000;58000;750000;
Kenya;2010;"3,3";"1,5";"5,5";31;50;6900000;54000;760000;20
Kenya;2011;"3,3";"1,6";"5,3";38;69;6900000;50000;760000;16
Kenya;2012;"3,2";"1,6";"5,2";43;57;6900000;46000;770000;19
Kenya;2013;"3,1";"1,6";5;47;59;6900000;42000;780000;18
Kenya;2014;"2,9";"1,6";"4,9";54;70;6900000;39000;790000;16
Kenya;2015;"2,8";"1,6";"4,7";65;90;6900000;36000;800000;10
Kenya;2016;"2,6";"1,5";"4,5";74;92;6900000;33000;800000;9
Botswana;2007;"12,8";"4,5";"23,6";29;78;6900000;11000;170000;
Botswana;2008;12;"4,4";"23,4";36;79;6900000;9800;170000;
Botswana;2009;"11,4";"4,3";"23,2";44;88;6900000;8500;180000;
Botswana;2010;"10,9";"4,3";23;49;79;6900000;7100;180000;8
Botswana;2011;"10,7";"4,3";"22,8";54;70;6900000;5900;190000;10
Botswana;2012;"10,5";"4,4";"22,7";61;89;6000000;4800;190000;6
Botswana;2013;"10,3";"4,5";"22,4";65;91;6900000;4100;190000;4
Botswana;2014;"10,2";"4,6";"22,1";67;84;6900000;3500;200000;6
Botswana;2015;"10,1";"4,6";"21,8";72;88;6900000;3100;200000;5
Botswana;2016;"9,9";"4,6";"21,4";76;87;6900000;2800;210000;5
