Country;Year;HIV_Prevalence_Female;HIV_Prevalence_Male;HIV_Prevalence_Total;Antiretroviral_Coverage;PMTCT_Coverage;Population;GDP_per_capita;People living with HIV;AIDS Deaths;Women 15+ with HIV;Mother to child trasmission rate %;HIV per 1000 pop 
South Africa;2007;49;"15,8";"4,7";10;49;50528584;"3,33077E+11";4700000;370000;3000000;;"93,02"
South Africa;2008;63;"15,3";"4,5";14;63;51114599;"3,16131E+11";4900000;360000;3100000;;"95,86"
South Africa;2009;79;"14,8";"4,4";19;79;51728516;"3,29754E+11";5100000;340000;3300000;;"98,59"
South Africa;2010;93;"14,3";"4,3";25;93;52344051;"4,17364E+11";5300000;310000;3400000;8;"101,25"
South Africa;2011;100;"13,9";"4,2";33;100;52995205;"4,58199E+11";5500000;280000;3500000;6;"103,78"
South Africa;2012;100;"13,5";"4,1";40;100;53782567;"4,34401E+11";5700000;240000;3700000;5;"105,98"
South Africa;2013;100;"13,1";"4,1";45;100;54678791;"4,00886E+11";5900000;200000;3800000;5;"107,9"
South Africa;2014;100;"12,9";"4,1";49;100;55594838;"3,81199E+11";6200000;170000;4000000;4;"111,52"
South Africa;2015;95;"12,6";"4,2";54;95;56723537;"3,4671E+11";6400000;150000;4100000;4;"112,83"
South Africa;2016;93;"12,4";"4,2";60;93;57259551;"3,23586E+11";6600000;130000;4300000;4;"115,26"
Kenya;2007;"3,6";"1,3";6;13;57;38036349;31958195182;1200000;64000;760000;;"31,55"
Kenya;2008;"3,5";"1,4";"5,8";18;76;39206351;35895153328;1200000;61000;760000;;"30,61"
Kenya;2009;"3,4";"1,4";"5,6";24;78;40408891;42347217913;1200000;58000;750000;;"29,7"
Kenya;2010;"3,3";"1,5";"5,5";31;50;41598567;45405615064;1200000;54000;760000;20;"28,85"
Kenya;2011;"3,3";"1,6";"5,3";38;69;42758461;46869473151;1200000;50000;760000;16;"28,06"
Kenya;2012;"3,2";"1,6";"5,2";43;57;43888303;56396704672;1200000;46000;770000;19;"27,34"
Kenya;2013;"3,1";"1,6";5;47;59;44986791;61671440408;1200000;42000;780000;18;"26,67"
Kenya;2014;"2,9";"1,6";"4,9";54;70;46051440;68285796514;1200000;39000;790000;16;"26,06"
Kenya;2015;"2,8";"1,6";"4,7";65;90;47088526;70120446897;1200000;36000;800000;10;"25,48"
Kenya;2016;"2,6";"1,5";"4,5";74;92;48139687;74815144164;1300000;33000;800000;9;27
Botswana;2007;"12,8";"4,5";"23,6";29;78;1911201;10567270656;4700000;11000;170000;;"2459,19"
Botswana;2008;12;"4,4";"23,4";36;79;1949970;10730829116;4900000;9800;170000;;"2512,86"
Botswana;2009;"11,4";"4,3";"23,2";44;88;1990673;10118459242;5100000;8500;180000;;"2561,95"
Botswana;2010;"10,9";"4,3";23;49;79;2033111;12637273429;5300000;7100;180000;8;"2606,84"
Botswana;2011;"10,7";"4,3";"22,8";54;70;2073535;15110643612;5500000;5900;190000;10;"2652,48"
Botswana;2012;"10,5";"4,4";"22,7";61;89;2108617;13907464500;5700000;4800;190000;6;"2703,19"
Botswana;2013;"10,3";"4,5";"22,4";65;91;2140682;14271738933;5900000;4100;190000;4;"2756,13"
Botswana;2014;"10,2";"4,6";"22,1";67;84;2172044;15470088501;6200000;3500;200000;6;"2854,45"
Botswana;2015;"10,1";"4,6";"21,8";72;88;2203273;13530748845;6400000;3100;200000;5;"2904,77"
Botswana;2016;"9,9";"4,6";"21,4";76;87;2234776;15082637184;6600000;2800;210000;5;"2953,32"
